SET
   actor_type   |            event_type             | count 
----------------+-----------------------------------+-------
 PORTAL_CONTACT | portal.document.downloaded        |     2
 PORTAL_CONTACT | portal.document.upload_initiated  |     5
 PORTAL_CONTACT | portal.invoice.paid               |     1
 PORTAL_CONTACT | portal.request_item.submitted     |     5
 SYSTEM         | invoice.paid                      |     1
 SYSTEM         | pack.installed                    |     5
 SYSTEM         | payment.completed                 |     1
 SYSTEM         | payment.session.created           |     1
 SYSTEM         | project.created                   |     1
 SYSTEM         | proposal.accepted                 |     1
 USER           | billing_rate.created              |     1
 USER           | billing_run.cancelled             |     1
 USER           | billing_run.created               |     3
 USER           | billing_run.generated             |     1
 USER           | conflict_check.performed          |     3
 USER           | court_date.created                |     1
 USER           | customer.created                  |     2
 USER           | customer.lifecycle.transitioned   |     1
 USER           | customer.updated                  |     1
 USER           | disbursement.approved             |     1
 USER           | disbursement.billed               |     1
 USER           | disbursement.created              |     1
 USER           | disbursement.submitted            |     1
 USER           | document.created                  |     1
 USER           | document.generated                |     1
 USER           | document.uploaded                 |     1
 USER           | document.visibility_changed       |     1
 USER           | information_request.completed     |     1
 USER           | information_request.created       |     5
 USER           | information_request.item_accepted |     3
 USER           | information_request.sent          |     5
 USER           | integration.configured            |     2
 USER           | integration.connection_tested     |     1
 USER           | integration.disabled              |     1
 USER           | integration.enabled               |     2
 USER           | integration.key_set               |     2
 USER           | invitation.created                |     4
 USER           | invoice.approved                  |     1
 USER           | invoice.created                   |     1
 USER           | invoice.sent                      |     1
 USER           | invoice.updated                   |     1
 USER           | matter_closure.closed             |     1
 USER           | member.role_changed               |     4
 USER           | org_settings.logo_uploaded        |     1
 USER           | org_settings.tax_configured       |     2
 USER           | org_settings.updated              |     2
 USER           | project.created_from_template     |     2
 USER           | project.updated                   |     2
 USER           | proposal.created                  |     2
 USER           | proposal.sent                     |     1
 USER           | statement.generated               |     2
 USER           | time_entry.created                |     4
 USER           | time_entry.deleted                |     2
 USER           | trust_account.created             |     1
 USER           | trust_deposit.recorded            |     4
(55 rows)

